联通专网,#genre#
CETV1,http://61.176.2.201:6000/udp/232.0.0.212:1234
CETV2,http://175.164.178.124:8999/udp/232.0.0.238:1234
CETV2,http://119.118.80.246:4022/udp/232.0.0.238:1234
CETV2,http://61.176.2.201:6000/udp/232.0.0.238:1234
CETV4,http://175.164.178.124:8999/udp/232.0.0.239:1234
CETV4,http://119.118.80.246:4022/udp/232.0.0.239:1234
CETV4,http://61.176.2.201:6000/udp/232.0.0.239:1234

辽宁卫视,http://175.164.178.124:8999/udp/232.0.0.126:1234
北京卫视,http://175.164.178.124:8999/udp/232.0.0.117:1234
天津卫视,http://175.164.178.124:8999/udp/232.0.0.125:1234
上海东方卫视,http://175.164.178.124:8999/udp/232.0.0.122:1234
浙江卫视,http://175.164.178.124:8999/udp/232.0.0.123:1234
江苏卫视,http://175.164.178.124:8999/udp/232.0.0.116:1234
安徽卫视,http://175.164.178.124:8999/udp/232.0.0.141:1234
湖南卫视,http://175.164.178.124:8999/udp/232.0.0.115:1234
贵州卫视,http://175.164.178.124:8999/udp/232.0.0.181:1234
山东卫视,http://175.164.178.124:8999/udp/232.0.0.131:1234
山西卫视,http://175.164.178.124:8999/udp/232.0.0.86:1234
广东卫视,http://175.164.178.124:8999/udp/232.0.0.130:1234
广西卫视,http://175.164.178.124:8999/udp/232.0.0.76:1234
湖北卫视,http://175.164.178.124:8999/udp/232.0.0.124:1234
江西卫视,http://175.164.178.124:8999/udp/232.0.0.82:1234
河北卫视,http://175.164.178.124:8999/udp/232.0.0.49:1234
河南卫视,http://175.164.178.124:8999/udp/232.0.0.80:1234
四川卫视,http://175.164.178.124:8999/udp/232.0.0.185:1234
重庆卫视,http://175.164.178.124:8999/udp/232.0.0.186:1234
福建东南卫视,http://175.164.178.124:8999/udp/232.0.0.74:1234
海南卫视,http://175.164.178.124:8999/udp/232.0.0.26:1234
青海卫视,http://175.164.178.124:8999/udp/232.0.0.101:1234
云南卫视,http://175.164.178.124:8999/udp/232.0.0.40:1234
陕西卫视,http://175.164.178.124:8999/udp/232.0.0.35:1234
内蒙古卫视,http://175.164.178.124:8999/udp/232.0.0.111:1234
宁夏卫视,http://175.164.178.124:8999/udp/232.0.0.34:1234
吉林卫视,http://175.164.178.124:8999/udp/232.0.0.180:1234
新疆卫视,http://175.164.178.124:8999/udp/232.0.0.18:1234
甘肃卫视,http://175.164.178.124:8999/udp/232.0.0.50:1234
西藏卫视,http://175.164.178.124:8999/udp/232.0.0.114:1234
黑龙江卫视,http://175.164.178.124:8999/udp/232.0.0.95:1234
深圳卫视,http://175.164.178.124:8999/udp/232.0.0.110:1234
厦门卫视,http://175.164.178.124:8999/udp/232.0.0.160:1234
山东教育卫视,http://175.164.178.124:8999/udp/232.0.0.169:1234
兵团卫视,http://175.164.178.124:8999/udp/232.0.0.67:1234
延边卫视,http://175.164.178.124:8999/udp/232.0.0.161:1234
西藏卫视（藏语）,http://175.164.178.124:8999/udp/232.0.0.104:1234
辽宁卫视,http://119.118.80.246:4022/udp/232.0.0.126:1234
北京卫视,http://119.118.80.246:4022/udp/232.0.0.117:1234
天津卫视,http://119.118.80.246:4022/udp/232.0.0.125:1234
上海东方卫视,http://119.118.80.246:4022/udp/232.0.0.122:1234
浙江卫视,http://119.118.80.246:4022/udp/232.0.0.123:1234
江苏卫视,http://119.118.80.246:4022/udp/232.0.0.116:1234
安徽卫视,http://119.118.80.246:4022/udp/232.0.0.141:1234
湖南卫视,http://119.118.80.246:4022/udp/232.0.0.115:1234
贵州卫视,http://119.118.80.246:4022/udp/232.0.0.181:1234
山东卫视,http://119.118.80.246:4022/udp/232.0.0.131:1234
山西卫视,http://119.118.80.246:4022/udp/232.0.0.86:1234
广东卫视,http://119.118.80.246:4022/udp/232.0.0.130:1234
广西卫视,http://119.118.80.246:4022/udp/232.0.0.76:1234
湖北卫视,http://119.118.80.246:4022/udp/232.0.0.124:1234
江西卫视,http://119.118.80.246:4022/udp/232.0.0.82:1234
河北卫视,http://119.118.80.246:4022/udp/232.0.0.49:1234
河南卫视,http://119.118.80.246:4022/udp/232.0.0.80:1234
四川卫视,http://119.118.80.246:4022/udp/232.0.0.185:1234
重庆卫视,http://119.118.80.246:4022/udp/232.0.0.186:1234
福建东南卫视,http://119.118.80.246:4022/udp/232.0.0.74:1234
海南卫视,http://119.118.80.246:4022/udp/232.0.0.26:1234
青海卫视,http://119.118.80.246:4022/udp/232.0.0.101:1234
云南卫视,http://119.118.80.246:4022/udp/232.0.0.40:1234
陕西卫视,http://119.118.80.246:4022/udp/232.0.0.35:1234
内蒙古卫视,http://119.118.80.246:4022/udp/232.0.0.111:1234
宁夏卫视,http://119.118.80.246:4022/udp/232.0.0.34:1234
吉林卫视,http://119.118.80.246:4022/udp/232.0.0.180:1234
新疆卫视,http://119.118.80.246:4022/udp/232.0.0.18:1234
甘肃卫视,http://119.118.80.246:4022/udp/232.0.0.50:1234
西藏卫视,http://119.118.80.246:4022/udp/232.0.0.114:1234
黑龙江卫视,http://119.118.80.246:4022/udp/232.0.0.95:1234
深圳卫视,http://119.118.80.246:4022/udp/232.0.0.110:1234
厦门卫视,http://119.118.80.246:4022/udp/232.0.0.160:1234
山东教育卫视,http://119.118.80.246:4022/udp/232.0.0.169:1234
兵团卫视,http://119.118.80.246:4022/udp/232.0.0.67:1234
延边卫视,http://119.118.80.246:4022/udp/232.0.0.161:1234
西藏卫视（藏语）,http://119.118.80.246:4022/udp/232.0.0.104:1234
辽宁卫视,http://61.176.2.201:6000/udp/232.0.0.126:1234
北京卫视,http://61.176.2.201:6000/udp/232.0.0.117:1234
天津卫视,http://61.176.2.201:6000/udp/232.0.0.125:1234
上海东方卫视,http://61.176.2.201:6000/udp/232.0.0.122:1234
浙江卫视,http://61.176.2.201:6000/udp/232.0.0.123:1234
江苏卫视,http://61.176.2.201:6000/udp/232.0.0.116:1234
安徽卫视,http://61.176.2.201:6000/udp/232.0.0.141:1234
湖南卫视,http://61.176.2.201:6000/udp/232.0.0.115:1234
