下载速率1461.50,#genre#
优漫卡通,http://171.38.217.65:8082/tsfile/live/1034_1.m3u8
佳嘉卡通,http://171.38.217.65:8082/tsfile/live/1014_1.m3u8
先锋兵羽,http://171.38.217.65:8082/tsfile/live/1013_1.m3u8
兵团卫视,http://171.38.217.65:8082/tsfile/live/1030_1.m3u8
动作电影,http://171.38.217.65:8082/tsfile/live/1045_1.m3u8
北京卫视,http://171.38.217.65:8082/tsfile/live/0122_1.m3u8
南宁公共,http://171.38.217.65:8082/tsfile/live/1017_1.m3u8
南宁影视娱乐,http://171.38.217.65:8082/tsfile/live/1018_1.m3u8
南宁新闻综合,http://171.38.217.65:8082/tsfile/live/1019_1.m3u8
南宁都市生活,http://171.38.217.65:8082/tsfile/live/1005_1.m3u8
南方卫视,http://171.38.217.65:8082/tsfile/live/1027_1.m3u8
卡酷少儿,http://171.38.217.65:8082/tsfile/live/1033_1.m3u8
吉林卫视,http://171.38.217.65:8082/tsfile/live/0116_1.m3u8
四川卫视,http://171.38.217.65:8082/tsfile/live/0123_1.m3u8
天津卫视,http://171.38.217.65:8082/tsfile/live/0135_1.m3u8
宁夏卫视,http://171.38.217.65:8082/tsfile/live/0112_1.m3u8
安徽卫视,http://171.38.217.65:8082/tsfile/live/0130_1.m3u8
家庭影院,http://171.38.217.65:8082/tsfile/live/1046_1.m3u8
山东卫视,http://171.38.217.65:8082/tsfile/live/0131_1.m3u8
山西卫视,http://171.38.217.65:8082/tsfile/live/0118_1.m3u8
广东体育,http://171.38.217.65:8082/tsfile/live/1006_1.m3u8
广东公共,http://171.38.217.65:8082/tsfile/live/1025_1.m3u8
广东卫视,http://171.38.217.65:8082/tsfile/live/0125_1.m3u8
广东少儿,http://171.38.217.65:8082/tsfile/live/1023_1.m3u8
广东影视,http://171.38.217.65:8082/tsfile/live/1043_1.m3u8
广东新闻,http://171.38.217.65:8082/tsfile/live/1024_1.m3u8
广东珠江,http://171.38.217.65:8082/tsfile/live/1020_1.m3u8
广东经济科教,http://171.38.217.65:8082/tsfile/live/1012_1.m3u8
广州综合,http://171.38.217.65:8082/tsfile/live/0133_1.m3u8
广西卫视,http://171.38.217.65:8082/tsfile/live/0113_1.m3u8
广西国际,http://171.38.217.65:8082/tsfile/live/1016_1.m3u8
广西影视,http://171.38.217.65:8082/tsfile/live/1037_1.m3u8
广西新闻,http://171.38.217.65:8082/tsfile/live/1004_1.m3u8
广西移动,http://171.38.217.65:8082/tsfile/live/1001_1.m3u8
广西综艺旅游,http://171.38.217.65:8082/tsfile/live/1040_1.m3u8
广西都市,http://171.38.217.65:8082/tsfile/live/1003_1.m3u8
收藏天下,http://171.38.217.65:8082/tsfile/live/1031_1.m3u8
新动漫,http://171.38.217.65:8082/tsfile/live/1036_1.m3u8
新疆卫视,http://171.38.217.65:8082/tsfile/live/0121_1.m3u8
旅游卫视,http://171.38.217.65:8082/tsfile/live/0114_1.m3u8
武术世界,http://171.38.217.65:8082/tsfile/live/1029_1.m3u8
江苏卫视,http://171.38.217.65:8082/tsfile/live/0127_1.m3u8
江西卫视,http://171.38.217.65:8082/tsfile/live/0139_1.m3u8
河北卫视,http://171.38.217.65:8082/tsfile/live/0117_1.m3u8
河南卫视,http://171.38.217.65:8082/tsfile/live/0138_1.m3u8
浙江卫视,http://171.38.217.65:8082/tsfile/live/0124_1.m3u8
深圳卫视,http://171.38.217.65:8082/tsfile/live/0126_1.m3u8
湖北卫视,http://171.38.217.65:8082/tsfile/live/0132_1.m3u8
湖南卫视,http://171.38.217.65:8082/tsfile/live/0128_1.m3u8
灵山综合,http://171.38.217.65:8082/tsfile/live/1035_1.m3u8
爱上4K,http://171.38.217.65:8082/tsfile/live/1026_1.m3u8
甘肃卫视,http://171.38.217.65:8082/tsfile/live/0119_1.m3u8
电影,http://171.38.217.65:8082/tsfile/live/1047_1.m3u8
贵州卫视,http://171.38.217.65:8082/tsfile/live/0120_1.m3u8
辽宁卫视,http://171.38.217.65:8082/tsfile/live/0110_1.m3u8
都市剧场,http://171.38.217.65:8082/tsfile/live/1008_1.m3u8
重庆卫视,http://171.38.217.65:8082/tsfile/live/0142_1.m3u8
金鹰卡通,http://171.38.217.65:8082/tsfile/live/1010_1.m3u8
钦州新闻综合,http://171.38.217.65:8082/tsfile/live/1022_1.m3u8
陕西卫视,http://171.38.217.65:8082/tsfile/live/0136_1.m3u8
青海卫视,http://171.38.217.65:8082/tsfile/live/0140_1.m3u8
黑龙江卫视,http://171.38.217.65:8082/tsfile/live/0143_1.m3u8
下载速率1448.28,#genre#
CCTV1,http://118.248.168.10:8088/tsfile/live/0001_1.m3u8
CCTV10,http://118.248.168.10:8088/tsfile/live/0010_1.m3u8
CCTV11,http://118.248.168.10:8088/tsfile/live/0011_1.m3u8
CCTV12,http://118.248.168.10:8088/tsfile/live/0012_1.m3u8
CCTV13,http://118.248.168.10:8088/tsfile/live/0013_1.m3u8
CCTV14,http://118.248.168.10:8088/tsfile/live/0014_1.m3u8
CCTV15,http://118.248.168.10:8088/tsfile/live/0015_1.m3u8
CCTV2,http://118.248.168.10:8088/tsfile/live/0002_1.m3u8
CCTV3,http://118.248.168.10:8088/tsfile/live/0003_1.m3u8
CCTV4,http://118.248.168.10:8088/tsfile/live/0004_1.m3u8
CCTV5,http://118.248.168.10:8088/tsfile/live/0005_1.m3u8
CCTV6,http://118.248.168.10:8088/tsfile/live/0006_1.m3u8
CCTV7,http://118.248.168.10:8088/tsfile/live/0007_1.m3u8
CCTV8,http://118.248.168.10:8088/tsfile/live/0008_1.m3u8
CCTV9,http://118.248.168.10:8088/tsfile/live/0009_1.m3u8
IPTV体育,http://118.248.168.10:8088/tsfile/live/0131_2.m3u8
上海卫视,http://118.248.168.10:8088/tsfile/live/0121_1.m3u8
东南卫视,http://118.248.168.10:8088/tsfile/live/0113_1.m3u8
北京卫视,http://118.248.168.10:8088/tsfile/live/0135_1.m3u8
安徽卫视,http://118.248.168.10:8088/tsfile/live/0126_1.m3u8
山东卫视,http://118.248.168.10:8088/tsfile/live/0139_1.m3u8
广东卫视,http://118.248.168.10:8088/tsfile/live/0137_1.m3u8
江苏卫视,http://118.248.168.10:8088/tsfile/live/0107_1.m3u8
江西卫视,http://118.248.168.10:8088/tsfile/live/0131_1.m3u8
浙江卫视,http://118.248.168.10:8088/tsfile/live/0130_1.m3u8
深圳卫视,http://118.248.168.10:8088/tsfile/live/0143_1.m3u8
湖南卫视,http://118.248.168.10:8088/tsfile/live/0002_2.m3u8
湖南娱乐,http://118.248.168.10:8088/tsfile/live/1005_1.m3u8
湖南都市,http://118.248.168.10:8088/tsfile/live/1002_1.m3u8
贵州卫视,http://118.248.168.10:8088/tsfile/live/0122_1.m3u8
辽宁卫视,http://118.248.168.10:8088/tsfile/live/0142_1.m3u8
金鹰卡通,http://118.248.168.10:8088/tsfile/live/1007_1.m3u8
