广东联通,#genre#
东方卫视,http://58.248.112.203:8006/GD_CUCC/G_DONGFANG-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2FFI8ayEeoekFD8P08%2F7EXFonI0wpSX7E4xoJhHgMDQ2&p=GITV&area=GD_CUCC&gMac=
北京卫视,http://58.248.112.203:8006/GD_CUCC/G_BEIJING-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea36pFJlsKFX2elUkY7G9WuZISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
深圳卫视,http://58.248.112.203:8006/GD_CUCC/G_SHENZHEN-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea9BPUZJQRNJB5bOiIhhUc3donI0wpSX7E4xoJhHgMDQ2&p=GITV&area=GD_CUCC&gMac=
辽宁卫视,http://58.248.112.203:8006/GD_CUCC/G_LIAONING-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea0RqeVO49Tnq6K%2BWCd0TWOtonI0wpSX7E4xoJhHgMDQ2&p=GITV&area=GD_CUCC&gMac=
安徽卫视,http://58.248.112.203:8006/GD_CUCC/G_ANHUI-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea68fMYbRtEinrpY8mcMNV0ilMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
山东卫视,http://58.248.112.203:8006/GD_CUCC/G_SHANDONG-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea4%2BfIJoJ9xhIZtB7lTaNNRJonI0wpSX7E4xoJhHgMDQ2&p=GITV&area=GD_CUCC&gMac=
黑龙江卫视,http://58.248.112.203:8006/GD_CUCC/G_HEILONGJIANG-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea4GO4sBlEXR27vS0rpENy%2BDgpjJ0gSVizM2vuHQaFAKI&p=GITV&area=GD_CUCC&gMac=
天津卫视,http://58.248.112.203:8006/GD_CUCC/G_TIANJIN-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6essbbY33u5MnZnHCFZZTJISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
广西卫视,http://58.248.112.203:8006/GD_CUCC/G_GUANGXI-HQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea0IecLjXoLUiOhb4XqRrxOtISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
东南卫视,http://58.248.112.203:8006/GD_CUCC/G_DONGNAN-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Eaw3sVbVN1ZTQKUpnK8xcf7xISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
甘肃卫视,http://58.248.112.203:8006/GD_CUCC/G_GANSU-HQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EaxiYJRCKz%2Fn7U%2FeM0RfaIQylMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
贵州卫视,http://58.248.112.203:8006/GD_CUCC/G_GUIZHOU-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea2s5lc8HFQLTI9VPV%2F62TTtISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
海南卫视,http://58.248.112.203:8006/GD_CUCC/G_HAINAN-HQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EaxjEbgLHWHMaNDdke1aj8dSgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
河北卫视,http://58.248.112.203:8006/GD_CUCC/G_HEBEI-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea2cyh66qvu%2FL%2FwItml3uDTOlMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
河南卫视,http://58.248.112.203:8006/GD_CUCC/G_HENAN-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6NiXAyTxeRV6k3xWEqk1fClMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
湖北卫视,http://58.248.112.203:8006/GD_CUCC/G_HUBEI-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2FuTk4fRGAbQmf88NLUA0ualMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
吉林卫视,http://58.248.112.203:8006/GD_CUCC/G_JILIN-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6JJz2LNhaEnHdhspiO2eTqlMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
江西卫视,http://58.248.112.203:8006/GD_CUCC/G_JIANGXI-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EayFtNLUdun4aiq6hb34UOKdISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
康巴卫视,http://58.248.112.203:8006/GD_CUCC/G_KANGBA.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2BSWv6rlnlhR0U6lfWIgChrdj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
安多卫视,http://58.248.112.203:8006/GD_CUCC/G_ANDUO.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EazdL1LCgpkCVTaI9%2FtaKxgCCr1L0UoJPhdCjqyG7oNvD&p=GITV&area=GD_CUCC&gMac=
兵团卫视,http://58.248.112.203:8006/GD_CUCC/G_BINGTUAN.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6y2ju%2FBG%2BJ9BrnFW99iRxilMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
内蒙古卫视,http://58.248.112.203:8006/GD_CUCC/G_NEIMENGGU.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea7wTsHKrYWUMyleNn%2BLDpCOgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
宁夏卫视,http://58.248.112.203:8006/GD_CUCC/G_NINGXIA.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EawuRlOAscwaswd2A0GvkhdnXxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
农林卫视,http://58.248.112.203:8006/GD_CUCC/G_NONGLIN.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea8IjeMrc8VrHB7L%2FzedFDn7XxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
三沙卫视,http://58.248.112.203:8006/GD_CUCC/G_SANSHA-HQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2FjxN32muBNSQPHetCMw5H2gJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
陕西卫视,http://58.248.112.203:8006/GD_CUCC/G_SHANXI-HQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea807aumRyco9K%2FPprxKAfQOgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
上海纪实,http://58.248.112.203:8006/GD_CUCC/G_SHANGHAIJS-HD.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Eaz2XjEQPCgsjHTwYM82OKTAlMCmMqRWhdsE4YvZm6QC%2B&p=GITV&area=GD_CUCC&gMac=
四川卫视,http://58.248.112.203:8006/GD_CUCC/G_SICHUAN-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EayhysHnFVsdNiy%2FnVMuA%2F2tISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
西藏卫视,http://58.248.112.203:8006/GD_CUCC/G_XIZANG.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea63TGoJFofLoo54FfnjwhkTdj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
新疆卫视,http://58.248.112.203:8006/GD_CUCC/G_XINJIANG.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2BXsv0yFyhmOlplk79kplzGlMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
延边卫视,http://58.248.112.203:8006/GD_CUCC/G_YANBIAN.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea3mGXLm0ClleHDcwz8SkG6PXxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
云南卫视,http://58.248.112.203:8006/GD_CUCC/G_YUNNAN-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea3H8Fl3lFssAO2mpD6DqekCgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
重庆卫视,http://58.248.112.203:8006/GD_CUCC/G_CHONGQING-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Eay5XA1hsd3RREgysPiqqJeTi5snZ13AcZqNVEK32DFHT&p=GITV&area=GD_CUCC&gMac=
北京奥运纪实,http://58.248.112.203:8006/GD_CUCC/G_BEIJINGJS-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea1qqd8HLKWN9yv5NoaCSBtzi5snZ13AcZqNVEK32DFHT&p=GITV&area=GD_CUCC&gMac=
家庭理财,http://58.248.112.203:8006/GD_CUCC/G_JIATINGLC.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea8%2FiRxQhfLj0nkKLOT%2F6UO6gJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
金鹰卡通,http://58.248.112.203:8006/GD_CUCC/G_JINYING.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2ByP%2FkAvXUNd9ZV6VEWWku3XxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
卡酷少儿,http://58.248.112.203:8006/GD_CUCC/G_KAKU.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea3DHZRKevULusjZdcQrwFO8CMNY12od21KDWX9YFDv6w&p=GITV&area=GD_CUCC&gMac=
女性时尚,http://58.248.112.203:8006/GD_CUCC/G_NVXINGSS-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Eaz6%2FGriC8y3OKTsyZWzciYtonI0wpSX7E4xoJhHgMDQ2&p=GITV&area=GD_CUCC&gMac=
炫动卡通,http://58.248.112.203:8006/GD_CUCC/G_XUANDONG.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EazsEqcXifkWlSQYKh6l9jR6lMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
优漫卡通,http://58.248.112.203:8006/GD_CUCC/G_YOUMAN.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea3r6yhQDEexdSgS2bAIOUb3dj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
CETV-1,http://58.248.112.203:8006/GD_CUCC/G_CETV-1-HQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea8bJQ2nb3CUdJxlM0UjRwnWgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
