001,http://171.108.239.99:8181/tsfile/live/1026_1.m3u8,  1.285 MB/s
CCTV1,http://58.51.111.46:1111/tsfile/live/0001_1.m3u8,  1.416 MB/s
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8,  1.390 MB/s
CCTV1,http://110.7.128.34:8096/tsfile/live/0001_1.m3u8,  1.390 MB/s
CCTV1,http://116.117.106.15:8096/tsfile/live/0001_1.m3u8,  1.390 MB/s
CCTV1,http://115.48.60.115:9901/tsfile/live/0001_1.m3u8,  1.344 MB/s
CCTV1,http://116.117.106.45:8096/tsfile/live/0001_1.m3u8,  1.344 MB/s
CCTV1,http://171.108.239.98:8181/tsfile/live/1027_1.m3u8,  1.344 MB/s
CCTV1,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8,  1.317 MB/s
CCTV1,http://110.7.128.188:8096/tsfile/live/0001_1.m3u8,  1.284 MB/s
CCTV1,http://116.117.104.143:8096/tsfile/live/0001_1.m3u8,  1.284 MB/s
CCTV1,http://119.125.104.104:9901/tsfile/live/1020_1.m3u8,  1.193 MB/s
CCTV1,http://182.120.165.79:9901/tsfile/live/0001_1.m3u8,  1.193 MB/s
CCTV1,http://119.125.104.51:9901/tsfile/live/0001_1.m3u8,  1.114 MB/s
CCTV1,http://110.7.129.244:8096/tsfile/live/0001_1.m3u8,  1.105 MB/s
CCTV1,http://116.117.106.40:8096/tsfile/live/0001_1.m3u8,  1.105 MB/s
CCTV1,http://171.108.239.79:8181/tsfile/live/1027_1.m3u8,  1.105 MB/s
CCTV1,http://58.53.152.234:9901/tsfile/live/0001_1.m3u8,  1.071 MB/s
CCTV1,http://106.115.25.34:9901/tsfile/live/1000_1.m3u8,  1.017 MB/s
CCTV1,http://110.7.130.173:8096/tsfile/live/0001_1.m3u8,  1.017 MB/s
CCTV1,http://116.117.106.4:8096/tsfile/live/0001_1.m3u8,  1.017 MB/s
CCTV1,http://171.108.239.99:8181/tsfile/live/1027_1.m3u8,  1.017 MB/s
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8,  1.017 MB/s
CCTV1,http://110.7.128.180:8096/tsfile/live/0001_1.m3u8,  1.013 MB/s
CCTV1,http://110.7.131.250:8096/tsfile/live/0001_1.m3u8,  1.013 MB/s
CCTV1,http://116.117.106.7:8096/tsfile/live/0001_1.m3u8,  1.013 MB/s
CCTV1,http://1.180.2.93:9901/tsfile/live/0001_1.m3u8,  0.984 MB/s
CCTV1,http://110.7.128.2:8096/tsfile/live/0001_1.m3u8,  0.984 MB/s
CCTV1,http://116.117.106.14:8096/tsfile/live/0001_1.m3u8,  0.984 MB/s
CCTV1,http://119.125.104.166:9901/tsfile/live/1015_1.m3u8,  0.984 MB/s
CCTV1,http://222.136.231.98:9901/tsfile/live/0001_1.m3u8,  0.727 MB/s
CCTV1,http://61.175.237.198:9901/tsfile/live/0001_1.m3u8,  0.727 MB/s
CCTV1,http://113.57.161.254:9000/tsfile/live/0001_1.m3u8,  0.684 MB/s
CCTV1,http://116.117.106.37:8096/tsfile/live/0001_1.m3u8,  0.684 MB/s
