广东银河,#genre#
CCTV-14,http://58.248.112.203:8006/GD_CUCC/G_CCTV-14-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQs44kHEGXWPeTdip0KbSgbfUSDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
CCTV-15,http://58.248.112.203:8006/GD_CUCC/G_CCTV-15-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQoyPYgkCWBSIT3aCcBdsAjvUSDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
CCTV-16,http://58.248.112.203:8006/GD_CUCC/G_CCTV-16-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQlSIaGkZ%2BPhCYgvTlbbof9fUSDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
CCTV-17,http://58.248.112.203:8006/GD_CUCC/G_CCTV-17-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQvlsNSUvoRXJq9Dxabd45unUSDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
CCTV-NEWS,http://58.248.112.203:8006/GD_CUCC/G_CCTV-NEWS.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQqpfmi7R%2FnXWIa8FxOyVIxsE6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=


卫视频道,#genre#
广东卫视,http://58.248.112.203:8006/GD_CUCC/G_GUANGDONG-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQvgbSbSCTYnboG1IAsnN%2B8QacwVhEfitjiQgne%2FQ8fyt&p=GITV&area=GD_CUCC&gMac=
江苏卫视,http://58.248.112.203:8006/GD_CUCC/G_JIANGSU-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQu%2BuH8HDFS0PtokY11nWnf7USDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
浙江卫视,http://58.248.112.203:8006/GD_CUCC/G_ZHEJIANG-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQtr3tmmw%2BL49D6e6Yw0TfYwSyslgpv6EDx6DE4F5QaEw&p=GITV&area=GD_CUCC&gMac=
湖南卫视,http://58.248.112.203:8006/GD_CUCC/G_HUNAN-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQivYtP4Jt2cqauh3OldSVYakZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=
东方卫视,http://58.248.112.203:8006/GD_CUCC/G_DONGFANG-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQvFI8ayEeoekFD8P08%2F7EXESyslgpv6EDx6DE4F5QaEw&p=GITV&area=GD_CUCC&gMac=
北京卫视,http://58.248.112.203:8006/GD_CUCC/G_BEIJING-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQn6pFJlsKFX2elUkY7G9WubUSDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
深圳卫视,http://58.248.112.203:8006/GD_CUCC/G_SHENZHEN-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQtBPUZJQRNJB5bOiIhhUc3cSyslgpv6EDx6DE4F5QaEw&p=GITV&area=GD_CUCC&gMac=
辽宁卫视,http://58.248.112.203:8006/GD_CUCC/G_LIAONING-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQkRqeVO49Tnq6K%2BWCd0TWOsSyslgpv6EDx6DE4F5QaEw&p=GITV&area=GD_CUCC&gMac=
安徽卫视,http://58.248.112.203:8006/GD_CUCC/G_ANHUI-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQnM3zFYXQVkpy%2BamUMKj0kqkZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=
山东卫视,http://58.248.112.203:8006/GD_CUCC/G_SHANDONG-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQo%2BfIJoJ9xhIZtB7lTaNNRISyslgpv6EDx6DE4F5QaEw&p=GITV&area=GD_CUCC&gMac=
黑龙江卫视,http://58.248.112.203:8006/GD_CUCC/G_HEILONGJIANG-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQoGO4sBlEXR27vS0rpENy%2BA6aouarxzZaMthCi%2FK%2Fq7z&p=GITV&area=GD_CUCC&gMac=
